
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LogReg,7===0,0.25,0.0,1.0,0.0
LSVM,7===0,0.25,0.0,1.0,1.0
SVM,7===0,0.25,1.0,1.0,1.0
RF,7===0,0.25,1.0,1.0,1.0
LogReg,7===20,0.25,0.0,1.0,-1
LSVM,7===20,0.25,0.0,1.0,-1
SVM,7===20,0.25,1.0,1.0,-1
RF,7===20,0.25,1.0,1.0,-1
LogReg,8===29,0.25,-1,-1,-1
LSVM,8===29,0.25,-1,-1,-1
SVM,8===29,0.25,-1,-1,-1
RF,8===29,0.25,-1,-1,-1
LogReg,8===38,0.25,-1,-1,0.967741935483871
LSVM,8===38,0.25,-1,-1,0.03225806451612903
SVM,8===38,0.25,-1,-1,1.0
RF,8===38,0.25,-1,-1,1.0
LogReg,8===25,0.25,0.5483870967741935,0.0,-1
LSVM,8===25,0.25,0.0,0.26344086021505375,-1
SVM,8===25,0.25,1.0,1.0,-1
RF,8===25,0.25,0.9919354838709677,1.0,-1
LogReg,8===10,0.25,-1,-1,-1
LSVM,8===10,0.25,-1,-1,-1
SVM,8===10,0.25,-1,-1,-1
RF,8===10,0.25,-1,-1,-1
LogReg,9===24,0.25,0.0,0.0,-1
LSVM,9===24,0.25,0.0,0.0,-1
SVM,9===24,0.25,1.0,0.5,-1
RF,9===24,0.25,1.0,1.0,-1
LogReg,9===3,0.25,0.0,1.0,-1
LSVM,9===3,0.25,1.0,1.0,-1
SVM,9===3,0.25,0.952,1.0,-1
RF,9===3,0.25,1.0,1.0,-1
LogReg,9===4,0.25,-1,-1,-1
LSVM,9===4,0.25,-1,-1,-1
SVM,9===4,0.25,-1,-1,-1
RF,9===4,0.25,-1,-1,-1
LogReg,9===32,0.25,0.0,1.0,0.32941176470588235
LSVM,9===32,0.25,0.0,1.0,0.6705882352941176
SVM,9===32,0.25,1.0,1.0,1.0
RF,9===32,0.25,1.0,1.0,1.0
LogReg,9===23,0.25,-1,-1,-1
LSVM,9===23,0.25,-1,-1,-1
SVM,9===23,0.25,-1,-1,-1
RF,9===23,0.25,-1,-1,-1
LogReg,10===45,0.25,-1,-1,-1
LSVM,10===45,0.25,-1,-1,-1
SVM,10===45,0.25,-1,-1,-1
RF,10===45,0.25,-1,-1,-1
LogReg,10===29,0.25,0.0,0.0,-1
LSVM,10===29,0.25,0.0,0.22448979591836735,-1
SVM,10===29,0.25,1.0,0.9693877551020408,-1
RF,10===29,0.25,0.9236641221374046,1.0,-1
LogReg,10===25,0.25,-1,-1,0.036036036036036036
LSVM,10===25,0.25,-1,-1,0.0
SVM,10===25,0.25,-1,-1,1.0
RF,10===25,0.25,-1,-1,1.0
LogReg,10===39,0.25,-1,-1,0.8571428571428571
LSVM,10===39,0.25,-1,-1,0.6547619047619048
SVM,10===39,0.25,-1,-1,1.0
RF,10===39,0.25,-1,-1,1.0
LogReg,10===36,0.25,-1,-1,-1
LSVM,10===36,0.25,-1,-1,-1
SVM,10===36,0.25,-1,-1,-1
RF,10===36,0.25,-1,-1,-1
LogReg,10===8,0.25,0.0,0.0,-1
LSVM,10===8,0.25,0.0,0.0,-1
SVM,10===8,0.25,1.0,0.0,-1
RF,10===8,0.25,1.0,1.0,-1
LogReg,11===7,0.25,0.14285714285714285,0.1111111111111111,-1
LSVM,11===7,0.25,0.14285714285714285,0.1111111111111111,-1
SVM,11===7,0.25,0.7142857142857143,0.1111111111111111,-1
RF,11===7,0.25,0.8571428571428571,1.0,-1
LogReg,11===48,0.25,0.32608695652173914,0.9056603773584906,-1
LSVM,11===48,0.25,0.6739130434782609,1.0,-1
SVM,11===48,0.25,1.0,1.0,-1
RF,11===48,0.25,1.0,1.0,-1
LogReg,11===5,0.25,0.0,0.0,-1
LSVM,11===5,0.25,0.0,0.136986301369863,-1
SVM,11===5,0.25,1.0,0.9794520547945206,-1
RF,11===5,0.25,1.0,1.0,-1
LogReg,11===40,0.25,0.0,1.0,0.0
LSVM,11===40,0.25,1.0,1.0,0.0
SVM,11===40,0.25,1.0,1.0,1.0
RF,11===40,0.25,1.0,1.0,1.0
LogReg,11===31,0.25,0.37735849056603776,0.8529411764705882,-1
LSVM,11===31,0.25,0.6226415094339622,0.9411764705882353,-1
SVM,11===31,0.25,0.7169811320754716,0.9264705882352942,-1
RF,11===31,0.25,0.8867924528301887,1.0,-1
LogReg,11===45,0.25,-1,-1,-1
LSVM,11===45,0.25,-1,-1,-1
SVM,11===45,0.25,-1,-1,-1
RF,11===45,0.25,-1,-1,-1
LogReg,11===44,0.25,-1,-1,-1
LSVM,11===44,0.25,-1,-1,-1
SVM,11===44,0.25,-1,-1,-1
RF,11===44,0.25,-1,-1,-1
LogReg,11===41,0.25,-1,-1,-1
LSVM,11===41,0.25,-1,-1,-1
SVM,11===41,0.25,-1,-1,-1
RF,11===41,0.25,-1,-1,-1
LogReg,11===34,0.25,-1,0.0,-1
LSVM,11===34,0.25,-1,1.0,-1
SVM,11===34,0.25,-1,0.0,-1
RF,11===34,0.25,-1,1.0,-1
LogReg,11===17,0.25,0.0,1.0,0.3712121212121212
LSVM,11===17,0.25,1.0,1.0,0.0
SVM,11===17,0.25,0.9067357512953368,1.0,1.0
RF,11===17,0.25,0.9689119170984456,1.0,1.0
LogReg,11===20,0.25,0.0,0.26,-1
LSVM,11===20,0.25,1.0,0.7933333333333333,-1
SVM,11===20,0.25,0.94,0.96,-1
RF,11===20,0.25,0.73,1.0,-1
LogReg,12===18,0.25,0.0196078431372549,0.03896103896103896,-1
LSVM,12===18,0.25,0.9803921568627451,0.03896103896103896,-1
SVM,12===18,0.25,0.8431372549019608,0.6363636363636364,-1
RF,12===18,0.25,1.0,1.0,-1
LogReg,12===7,0.25,0.0,0.16666666666666666,-1
LSVM,12===7,0.25,1.0,0.16666666666666666,-1
SVM,12===7,0.25,0.6666666666666666,0.16666666666666666,-1
RF,12===7,0.25,1.0,1.0,-1
LogReg,12===42,0.25,0.0,1.0,-1
LSVM,12===42,0.25,0.0,1.0,-1
SVM,12===42,0.25,1.0,1.0,-1
RF,12===42,0.25,1.0,1.0,-1
LogReg,12===28,0.25,-1,-1,-1
LSVM,12===28,0.25,-1,-1,-1
SVM,12===28,0.25,-1,-1,-1
RF,12===28,0.25,-1,-1,-1
LogReg,12===48,0.25,0.0,1.0,-1
LSVM,12===48,0.25,0.0,1.0,-1
SVM,12===48,0.25,1.0,1.0,-1
RF,12===48,0.25,0.967479674796748,1.0,-1
LogReg,12===35,0.25,0.0,0.0,0.0
LSVM,12===35,0.25,0.0,0.0,0.0
SVM,12===35,0.25,1.0,1.0,1.0
RF,12===35,0.25,1.0,1.0,1.0
LogReg,12===0,0.25,0.0,1.0,0.02830188679245283
LSVM,12===0,0.25,0.0,1.0,0.0
SVM,12===0,0.25,1.0,1.0,1.0
RF,12===0,0.25,1.0,1.0,1.0
LogReg,12===37,0.25,0.0,0.0,-1
LSVM,12===37,0.25,0.0,0.0,-1
SVM,12===37,0.25,0.9375,0.7222222222222222,-1
RF,12===37,0.25,1.0,1.0,-1
LogReg,12===49,0.25,0.0,0.0,-1
LSVM,12===49,0.25,1.0,0.0,-1
SVM,12===49,0.25,1.0,0.8352941176470589,-1
RF,12===49,0.25,0.8849557522123894,1.0,-1
LogReg,12===33,0.25,0.0,0.9852941176470589,-1
LSVM,12===33,0.25,0.0,0.9852941176470589,-1
SVM,12===33,0.25,1.0,0.9558823529411765,-1
RF,12===33,0.25,1.0,1.0,-1
LogReg,13===47,0.25,0.0,0.5,-1
LSVM,13===47,0.25,0.0,0.74,-1
SVM,13===47,0.25,1.0,0.7,-1
RF,13===47,0.25,1.0,1.0,-1
LogReg,13===22,0.25,-1,0.8235294117647058,-1
LSVM,13===22,0.25,-1,1.0,-1
SVM,13===22,0.25,-1,1.0,-1
RF,13===22,0.25,-1,1.0,-1
LogReg,13===6,0.25,0.0,0.0,-1
LSVM,13===6,0.25,0.0,0.10256410256410256,-1
SVM,13===6,0.25,0.9615384615384616,0.9230769230769231,-1
RF,13===6,0.25,0.9423076923076923,1.0,-1
LogReg,13===14,0.25,1.0,1.0,0.0
LSVM,13===14,0.25,0.0,1.0,0.0
SVM,13===14,0.25,1.0,1.0,1.0
RF,13===14,0.25,1.0,1.0,1.0
LogReg,13===21,0.25,0.0,0.046875,-1
LSVM,13===21,0.25,0.0,0.421875,-1
SVM,13===21,0.25,1.0,0.859375,-1
RF,13===21,0.25,1.0,1.0,-1
LogReg,13===43,0.25,-1,-1,0.0
LSVM,13===43,0.25,-1,-1,0.0
SVM,13===43,0.25,-1,-1,1.0
RF,13===43,0.25,-1,-1,1.0
LogReg,13===37,0.25,-1,0.0,-1
LSVM,13===37,0.25,-1,0.14285714285714285,-1
SVM,13===37,0.25,-1,0.0,-1
RF,13===37,0.25,-1,1.0,-1
LogReg,13===49,0.25,1.0,0.0,-1
LSVM,13===49,0.25,0.0,0.415,-1
SVM,13===49,0.25,1.0,1.0,-1
RF,13===49,0.25,1.0,1.0,-1
LogReg,13===33,0.25,-1,-1,1.0
LSVM,13===33,0.25,-1,-1,1.0
SVM,13===33,0.25,-1,-1,1.0
RF,13===33,0.25,-1,-1,1.0
LogReg,14===46,0.25,-1,0.0,-1
LSVM,14===46,0.25,-1,1.0,-1
SVM,14===46,0.25,-1,0.0,-1
RF,14===46,0.25,-1,1.0,-1
LogReg,14===47,0.25,-1,-1,-1
LSVM,14===47,0.25,-1,-1,-1
SVM,14===47,0.25,-1,-1,-1
RF,14===47,0.25,-1,-1,-1
LogReg,14===30,0.25,0.0,0.72,-1
LSVM,14===30,0.25,0.0,0.7866666666666666,-1
SVM,14===30,0.25,1.0,0.92,-1
RF,14===30,0.25,1.0,1.0,-1
LogReg,14===26,0.25,0.11594202898550725,0.21153846153846154,-1
LSVM,14===26,0.25,0.11594202898550725,0.4230769230769231,-1
SVM,14===26,0.25,1.0,0.9423076923076923,-1
RF,14===26,0.25,0.9565217391304348,1.0,-1
LogReg,14===22,0.25,0.0,1.0,0.0
LSVM,14===22,0.25,0.0,1.0,0.0
SVM,14===22,0.25,1.0,1.0,1.0
RF,14===22,0.25,0.8529411764705882,1.0,1.0
LogReg,14===6,0.25,-1,-1,1.0
LSVM,14===6,0.25,-1,-1,1.0
SVM,14===6,0.25,-1,-1,1.0
RF,14===6,0.25,-1,-1,1.0
LogReg,14===21,0.25,0.4,0.4083333333333333,-1
LSVM,14===21,0.25,0.7625,0.775,-1
SVM,14===21,0.25,0.8375,0.9666666666666667,-1
RF,14===21,0.25,0.725,1.0,-1
LogReg,14===1,0.25,0.21739130434782608,0.0,-1
LSVM,14===1,0.25,0.21739130434782608,0.0,-1
