
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
RF,6===21,0.25,0.9887640449438202,0.9887640449438202,1.0
LogReg,6===15,0.25,1.0,1.0,1.0
LSVM,6===15,0.25,1.0,1.0,1.0
SVM,6===15,0.25,1.0,0.8947368421052632,1.0
RF,6===15,0.25,1.0,0.9473684210526315,1.0
LogReg,6===2,0.25,1.0,1.0,1.0
LSVM,6===2,0.25,1.0,1.0,1.0
SVM,6===2,0.25,1.0,1.0,1.0
RF,6===2,0.25,1.0,1.0,1.0
LogReg,6===1,0.25,0.5185185185185185,0.65,1.0
LSVM,6===1,0.25,0.6666666666666666,0.8166666666666667,1.0
SVM,6===1,0.25,0.9444444444444444,0.75,1.0
RF,6===1,0.25,1.0,1.0,1.0
LogReg,6===43,0.25,0.47,0.8037383177570093,1.0
LSVM,6===43,0.25,0.59,0.897196261682243,1.0
SVM,6===43,0.25,0.91,0.8598130841121495,1.0
RF,6===43,0.25,0.98,1.0,1.0
LogReg,6===33,0.25,0.5824175824175825,0.7583333333333333,1.0
LSVM,6===33,0.25,0.6703296703296703,0.9166666666666666,1.0
SVM,6===33,0.25,0.945054945054945,0.85,1.0
RF,6===33,0.25,0.9560439560439561,1.0,1.0
LogReg,6===13,0.25,0.8607594936708861,0.9113924050632911,1.0
LSVM,6===13,0.25,0.8987341772151899,0.9746835443037974,1.0
SVM,6===13,0.25,1.0,0.9620253164556962,1.0
RF,6===13,0.25,1.0,1.0,1.0
LogReg,7===18,0.25,0.9404761904761905,0.9880952380952381,0.9518072289156626
LSVM,7===18,0.25,0.9523809523809523,1.0,0.9036144578313253
SVM,7===18,0.25,1.0,1.0,1.0
RF,7===18,0.25,1.0,1.0,1.0
LogReg,7===12,0.25,0.6190476190476191,0.75,1.0
LSVM,7===12,0.25,0.7857142857142857,0.8181818181818182,1.0
SVM,7===12,0.25,0.9761904761904762,0.7272727272727273,1.0
RF,7===12,0.25,1.0,1.0,1.0
LogReg,7===48,0.25,1.0,1.0,1.0
LSVM,7===48,0.25,1.0,1.0,1.0
SVM,7===48,0.25,1.0,1.0,1.0
RF,7===48,0.25,1.0,1.0,1.0
LogReg,7===35,0.25,0.6666666666666666,0.5,1.0
LSVM,7===35,0.25,0.8333333333333334,0.6666666666666666,1.0
SVM,7===35,0.25,1.0,0.5,1.0
RF,7===35,0.25,1.0,1.0,1.0
LogReg,7===40,0.25,0.8787878787878788,0.5882352941176471,1.0
LSVM,7===40,0.25,0.8787878787878788,0.8529411764705882,1.0
SVM,7===40,0.25,1.0,0.5882352941176471,1.0
RF,7===40,0.25,1.0,0.9411764705882353,1.0
LogReg,7===44,0.25,0.735632183908046,0.7378640776699029,1.0
LSVM,7===44,0.25,0.7471264367816092,0.970873786407767,1.0
SVM,7===44,0.25,0.9540229885057471,0.9514563106796117,1.0
RF,7===44,0.25,0.9770114942528736,0.9902912621359223,1.0
LogReg,7===41,0.25,0.59375,0.7428571428571429,1.0
LSVM,7===41,0.25,0.625,0.8857142857142857,1.0
