
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LSVM,5===16,0.25,1.0,1.0,1.0
SVM,5===16,0.25,1.0,1.0,1.0
RF,5===16,0.25,1.0,1.0,1.0
LogReg,5===1,0.25,0.8679245283018868,0.8679245283018868,1.0
LSVM,5===1,0.25,0.8867924528301887,0.9056603773584906,1.0
SVM,5===1,0.25,0.9056603773584906,0.8867924528301887,1.0
RF,5===1,0.25,0.9433962264150944,1.0,1.0
LogReg,5===11,0.25,0.9846153846153847,0.9076923076923077,1.0
LSVM,5===11,0.25,0.9692307692307692,0.9076923076923077,1.0
SVM,5===11,0.25,0.9846153846153847,0.8923076923076924,1.0
RF,5===11,0.25,0.9692307692307692,1.0,1.0
LogReg,5===34,0.25,0.9375,0.9375,0.9625
LSVM,5===34,0.25,0.9375,0.975,0.95
SVM,5===34,0.25,0.9375,0.9125,1.0
RF,5===34,0.25,0.9875,1.0,0.9875
LogReg,6===46,0.25,0.96,0.84,1.0
LSVM,6===46,0.25,0.8,0.84,1.0
SVM,6===46,0.25,1.0,0.8,1.0
RF,6===46,0.25,0.96,0.96,1.0
LogReg,6===47,0.25,1.0,1.0,1.0
LSVM,6===47,0.25,1.0,1.0,1.0
SVM,6===47,0.25,1.0,1.0,1.0
RF,6===47,0.25,1.0,1.0,1.0
LogReg,6===5,0.25,0.9863013698630136,0.9315068493150684,1.0
LSVM,6===5,0.25,0.9726027397260274,0.9726027397260274,1.0
SVM,6===5,0.25,0.958904109589041,0.958904109589041,1.0
RF,6===5,0.25,0.9726027397260274,0.958904109589041,1.0
LogReg,6===30,0.25,0.94,0.72,1.0
LSVM,6===30,0.25,0.76,0.84,1.0
SVM,6===30,0.25,0.92,0.88,1.0
RF,6===30,0.25,1.0,0.92,1.0
LogReg,6===26,0.25,1.0,0.9859154929577465,1.0
LSVM,6===26,0.25,1.0,0.9859154929577465,1.0
SVM,6===26,0.25,0.9859154929577465,0.9859154929577465,1.0
RF,6===26,0.25,1.0,0.9859154929577465,1.0
LogReg,6===22,0.25,1.0,1.0,1.0
LSVM,6===22,0.25,1.0,1.0,1.0
SVM,6===22,0.25,1.0,1.0,1.0
RF,6===22,0.25,1.0,1.0,1.0
LogReg,6===14,0.25,1.0,1.0,0.9875
LSVM,6===14,0.25,1.0,1.0,0.9875
SVM,6===14,0.25,1.0,1.0,1.0
RF,6===14,0.25,1.0,1.0,1.0
LogReg,6===21,0.25,0.9875,0.9625,1.0
LSVM,6===21,0.25,0.9625,0.9625,1.0
SVM,6===21,0.25,0.975,0.975,1.0
RF,6===21,0.25,0.95,1.0,1.0
LogReg,6===15,0.25,1.0,0.9411764705882353,1.0
LSVM,6===15,0.25,1.0,0.9411764705882353,1.0
SVM,6===15,0.25,1.0,0.8823529411764706,1.0
RF,6===15,0.25,1.0,1.0,1.0
LogReg,6===2,0.25,1.0,1.0,1.0
LSVM,6===2,0.25,1.0,1.0,1.0
SVM,6===2,0.25,1.0,1.0,1.0
RF,6===2,0.25,1.0,1.0,1.0
LogReg,6===1,0.25,0.8974358974358975,0.717948717948718,1.0
LSVM,6===1,0.25,0.8717948717948718,0.8461538461538461,1.0
SVM,6===1,0.25,0.9487179487179487,0.717948717948718,1.0
RF,6===1,0.25,1.0,0.9487179487179487,1.0
LogReg,6===43,0.25,0.8513513513513513,0.8243243243243243,1.0
LSVM,6===43,0.25,0.8108108108108109,0.9054054054054054,1.0
SVM,6===43,0.25,0.7972972972972973,0.918918918918919,1.0
RF,6===43,0.25,0.9864864864864865,0.9864864864864865,1.0
LogReg,6===33,0.25,0.9,0.8714285714285714,1.0
LSVM,6===33,0.25,0.9285714285714286,0.8857142857142857,1.0
SVM,6===33,0.25,0.9571428571428572,0.9142857142857143,1.0
RF,6===33,0.25,0.9714285714285714,0.9857142857142858,1.0
LogReg,6===13,0.25,1.0,1.0,1.0
LSVM,6===13,0.25,1.0,1.0,1.0
SVM,6===13,0.25,1.0,1.0,1.0
RF,6===13,0.25,1.0,1.0,1.0
LogReg,7===18,0.25,1.0,1.0,0.975
LSVM,7===18,0.25,0.9375,1.0,1.0
SVM,7===18,0.25,1.0,1.0,1.0
RF,7===18,0.25,1.0,1.0,1.0
LogReg,7===12,0.25,0.96875,0.90625,1.0
LSVM,7===12,0.25,0.84375,0.90625,1.0
SVM,7===12,0.25,0.96875,0.90625,1.0
RF,7===12,0.25,0.96875,1.0,1.0
LogReg,7===48,0.25,1.0,1.0,1.0
LSVM,7===48,0.25,1.0,1.0,1.0
SVM,7===48,0.25,1.0,1.0,1.0
RF,7===48,0.25,1.0,1.0,1.0
LogReg,7===35,0.25,1.0,1.0,1.0
LSVM,7===35,0.25,1.0,1.0,1.0
SVM,7===35,0.25,1.0,1.0,1.0
RF,7===35,0.25,1.0,1.0,1.0
LogReg,7===40,0.25,0.9354838709677419,0.5161290322580645,1.0
LSVM,7===40,0.25,0.967741935483871,0.8387096774193549,1.0
SVM,7===40,0.25,1.0,0.7419354838709677,1.0
RF,7===40,0.25,1.0,1.0,1.0
