
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LSVM,11===45,0.25,1.0,1.0,1.0
SVM,11===45,0.25,1.0,1.0,1.0
RF,11===45,0.25,1.0,1.0,1.0
LogReg,11===44,0.25,1.0,1.0,1.0
LSVM,11===44,0.25,1.0,1.0,1.0
SVM,11===44,0.25,1.0,1.0,1.0
RF,11===44,0.25,1.0,1.0,1.0
LogReg,11===41,0.25,1.0,1.0,1.0
LSVM,11===41,0.25,1.0,1.0,1.0
SVM,11===41,0.25,1.0,1.0,1.0
RF,11===41,0.25,1.0,1.0,1.0
LogReg,11===34,0.25,1.0,1.0,1.0
LSVM,11===34,0.25,1.0,1.0,1.0
SVM,11===34,0.25,1.0,1.0,1.0
RF,11===34,0.25,1.0,1.0,1.0
LogReg,11===17,0.25,0.8947368421052632,0.9625,0.8260869565217391
LSVM,11===17,0.25,0.8947368421052632,0.975,0.8985507246376812
SVM,11===17,0.25,0.9078947368421053,0.9625,0.9855072463768116
RF,11===17,0.25,0.9736842105263158,0.9875,1.0
LogReg,11===20,0.25,0.9411764705882353,0.9264705882352942,1.0
LSVM,11===20,0.25,0.9705882352941176,0.9852941176470589,1.0
SVM,11===20,0.25,0.9558823529411765,0.9411764705882353,1.0
RF,11===20,0.25,0.9558823529411765,0.9852941176470589,1.0
LogReg,12===18,0.25,0.75,0.6666666666666666,1.0
LSVM,12===18,0.25,0.75,0.6666666666666666,1.0
SVM,12===18,0.25,0.6666666666666666,0.7142857142857143,1.0
RF,12===18,0.25,0.9166666666666666,0.8571428571428571,1.0
LogReg,12===7,0.25,1.0,1.0,1.0
LSVM,12===7,0.25,1.0,1.0,1.0
SVM,12===7,0.25,1.0,1.0,1.0
RF,12===7,0.25,1.0,1.0,1.0
LogReg,12===42,0.25,1.0,1.0,1.0
LSVM,12===42,0.25,1.0,1.0,1.0
SVM,12===42,0.25,1.0,1.0,1.0
RF,12===42,0.25,1.0,1.0,1.0
LogReg,12===28,0.25,1.0,1.0,1.0
LSVM,12===28,0.25,1.0,1.0,1.0
SVM,12===28,0.25,1.0,1.0,1.0
RF,12===28,0.25,1.0,1.0,1.0
LogReg,12===48,0.25,1.0,1.0,1.0
LSVM,12===48,0.25,1.0,1.0,1.0
SVM,12===48,0.25,1.0,1.0,1.0
RF,12===48,0.25,1.0,1.0,1.0
LogReg,12===35,0.25,0.9354838709677419,0.9354838709677419,0.9655172413793104
LSVM,12===35,0.25,0.9354838709677419,0.9354838709677419,1.0
SVM,12===35,0.25,0.967741935483871,1.0,1.0
RF,12===35,0.25,0.967741935483871,1.0,1.0
LogReg,12===0,0.25,0.9863013698630136,0.9863013698630136,0.9852941176470589
LSVM,12===0,0.25,0.9726027397260274,1.0,0.9852941176470589
SVM,12===0,0.25,0.9863013698630136,0.9726027397260274,1.0
RF,12===0,0.25,0.9863013698630136,1.0,1.0
LogReg,12===37,0.25,0.8333333333333334,0.9047619047619048,1.0
LSVM,12===37,0.25,0.8703703703703703,0.9047619047619048,1.0
SVM,12===37,0.25,0.8518518518518519,0.8809523809523809,1.0
RF,12===37,0.25,0.9444444444444444,0.9285714285714286,1.0
LogReg,12===49,0.25,0.86,0.782608695652174,1.0
LSVM,12===49,0.25,0.92,0.8478260869565217,1.0
SVM,12===49,0.25,0.84,0.8695652173913043,1.0
RF,12===49,0.25,0.98,0.9347826086956522,1.0
LogReg,12===33,0.25,0.8936170212765957,0.7647058823529411,1.0
